dataset,country_role,mapping_status,map_eligible_flag,rows
resettlement,host,manual_iso,True,1778
resettlement,host,pycountry_exact_or_alias,True,7297
resettlement,origin,historical_or_composite,False,124
resettlement,origin,manual_iso,True,1808
resettlement,origin,pycountry_exact_or_alias,True,6777
resettlement,origin,special_entity,False,366
asylum_seekers_monthly,host,historical_or_composite,False,1585
asylum_seekers_monthly,host,manual_iso,True,70047
asylum_seekers_monthly,host,pycountry_exact_or_alias,True,260557
asylum_seekers_monthly,origin,historical_or_composite,False,5021
asylum_seekers_monthly,origin,manual_iso,True,59186
asylum_seekers_monthly,origin,pycountry_exact_or_alias,True,261223
asylum_seekers_monthly,origin,special_entity,False,6759
demographics,host,historical_or_composite,False,86
demographics,host,manual_iso,True,4036
demographics,host,pycountry_exact_or_alias,True,14233
demographics,host,pycountry_fuzzy,True,1
asylum_seekers,host,historical_or_composite,False,589
asylum_seekers,host,manual_iso,True,20577
asylum_seekers,host,pycountry_exact_or_alias,True,108553
asylum_seekers,host,pycountry_fuzzy,True,1
asylum_seekers,origin,historical_or_composite,False,1127
asylum_seekers,origin,manual_iso,True,22936
asylum_seekers,origin,pycountry_exact_or_alias,True,103418
asylum_seekers,origin,pycountry_fuzzy,True,6
asylum_seekers,origin,special_entity,False,2233
persons_of_concern_wide,host,historical_or_composite,False,530
persons_of_concern_wide,host,manual_iso,True,17879
persons_of_concern_wide,host,pycountry_exact_or_alias,True,98911
persons_of_concern_wide,host,pycountry_fuzzy,True,1
persons_of_concern_wide,origin,historical_or_composite,False,1215
persons_of_concern_wide,origin,manual_iso,True,20467
persons_of_concern_wide,origin,pycountry_exact_or_alias,True,91248
persons_of_concern_wide,origin,pycountry_fuzzy,True,3
persons_of_concern_wide,origin,special_entity,False,4388
persons_of_concern_long,host,historical_or_composite,False,3710
persons_of_concern_long,host,manual_iso,True,125153
persons_of_concern_long,host,pycountry_exact_or_alias,True,692377
persons_of_concern_long,host,pycountry_fuzzy,True,7
persons_of_concern_long,origin,historical_or_composite,False,8505
persons_of_concern_long,origin,manual_iso,True,143269
persons_of_concern_long,origin,pycountry_exact_or_alias,True,638736
persons_of_concern_long,origin,pycountry_fuzzy,True,21
persons_of_concern_long,origin,special_entity,False,30716
time_series,host,historical_or_composite,False,1592
time_series,host,manual_iso,True,45244
time_series,host,pycountry_exact_or_alias,True,251604
time_series,host,pycountry_fuzzy,True,1
time_series,origin,historical_or_composite,False,2980
time_series,origin,manual_iso,True,53139
time_series,origin,pycountry_exact_or_alias,True,234162
time_series,origin,pycountry_fuzzy,True,28
time_series,origin,special_entity,False,8132
