year,dimension,countries,total_observed,top1_share,top5_share,hhi
1960,origin,1,150000.0,1.0,1.0,1.0
1961,origin,3,302000.0,0.4966887417218543,1.0,0.4839042147274242
1962,origin,3,322000.0,0.5279503105590062,1.0,0.48738474595887504
1963,origin,5,353000.0,0.49575070821529743,1.0,0.4379378696562849
1964,origin,12,1700690.0,0.7055959639910859,0.9731344336710394,0.5229797106948337
1965,origin,13,1950280.0,0.6819533605431015,0.9421518961379904,0.48739745324631023
1966,origin,17,2113320.0,0.6278320367951848,0.9369191603732515,0.4258433302017069
1967,origin,17,958640.0,0.371568054744221,0.8236772928315113,0.20118772620861278
1968,origin,22,1089160.0,0.35014139336736566,0.7843567519923611,0.18499398084839377
1969,origin,24,1072600.0,0.38056125303002053,0.7983591273540929,0.20222383696218404
1970,origin,28,1109800.0,0.3731483150117138,0.7765273022166156,0.19556577013173257
1971,origin,30,1170420.0,0.35858068043950037,0.7541309957109413,0.18373424426474977
1972,origin,31,1242790.0,0.33915625326885473,0.73592481432905,0.16720416629721996
1973,origin,25,1030600.0,0.4138851154667184,0.8498350475451193,0.22926353500411187
1974,origin,30,1093030.0,0.4459072486574019,0.87599608427948,0.2535945739205467
1975,origin,37,1595640.0,0.31136722569000524,0.755746910330651,0.1628226323332822
1976,origin,32,1789720.0,0.2793733097914758,0.8010303287665109,0.18193970790522487
1977,origin,31,2326695.0,0.2816656244157485,0.7622185116656889,0.16186701564138942
1978,origin,43,3201140.0,0.2772980875563081,0.6363889114502959,0.13952244268894284
1979,origin,40,4370920.0,0.37151675162208414,0.7709543986163097,0.1889822566864702
1980,origin,61,6854279.0,0.37465618192664757,0.7853529160397469,0.2175866139247315
1981,origin,62,7955091.0,0.48773596681672154,0.78536725726959,0.27510563168419844
1982,origin,66,8517309.0,0.5269521159793545,0.8068644685780451,0.30910949080864836
1983,origin,67,8682879.0,0.5427617959434883,0.8015956458681505,0.3240602262867659
1984,origin,69,8976498.0,0.49213524026853234,0.7727748616442626,0.27782256197845473
1985,origin,72,9920597.0,0.46904364727243736,0.7567229068976393,0.2596293909634949
1986,origin,72,10221991.0,0.4983650445397575,0.7588442408137515,0.2789242251297285
1987,origin,72,10849197.0,0.5080320691015197,0.7776570007900124,0.28700161407906954
1988,origin,89,12048424.0,0.46669854912144526,0.7475146956979601,0.24738222129069504
1989,origin,96,12243956.0,0.4609612285441078,0.751765850841019,0.24347030242569614
1990,origin,108,14771747.0,0.42913644540486645,0.7312952895822004,0.21368512760920574
1991,origin,119,14550328.0,0.433412978731476,0.7113804582274709,0.21447447108264844
1992,origin,131,14650485.0,0.31071688070394937,0.5910716266389816,0.1266518563096657
1993,origin,141,14036768.0,0.24040975814375504,0.4911127689792978,0.08612893644304047
1994,origin,169,13901402.0,0.19646716208911877,0.526025720283465,0.08418051964951494
1995,origin,175,12683444.0,0.21123071935351312,0.5307397580657115,0.08602335247820414
1996,origin,181,11900548.0,0.22471536604868952,0.48769409610380965,0.07982886875467288
1997,origin,183,11993726.0,0.22317284887115146,0.5091753805281195,0.08218416668281134
1998,origin,183,11322646.0,0.2357476335478474,0.49512366632322513,0.0852188997978097
1999,origin,186,11315595.0,0.2387581916814803,0.46301736674032606,0.08368758688355142
2000,origin,190,12677841.0,0.2940308211784641,0.47999647574062493,0.10696442870508008
2001,origin,187,12557020.0,0.31381330920871353,0.4905402714975368,0.11731223170406552
2002,origin,196,11794870.0,0.22357177315222634,0.4008708023064264,0.07192947290020352
2003,origin,198,10676767.0,0.21189541740491294,0.4064471014493432,0.06773183438522787
2004,origin,196,10433435.0,0.24263533534257892,0.4497760325338683,0.08112853460932
2005,origin,196,10063205.0,0.226621439193577,0.44335944661765314,0.07461590050031029
2006,origin,197,11106662.0,0.20013825936181365,0.4942939651895412,0.07692594085515
2007,origin,195,11783205.0,0.2608933647509315,0.5959502529235466,0.12032484064976415
2008,origin,197,10998664.0,0.2598868371649502,0.5674335537479824,0.11171637782809096
2009,origin,198,11123563.0,0.26241717694231603,0.5729975188705274,0.11000301967783936
2010,origin,202,12167730.0,0.32308014724192596,0.6098183473827904,0.1378242478137694
2011,origin,207,12249155.0,0.29848344640916047,0.5959731099818723,0.12188106183204632
2012,origin,204,12372618.0,0.2852212037904993,0.5514014091439662,0.10869853463981358
2013,origin,203,13380020.0,0.21731013854986764,0.584992623329412,0.10156585891607894
2014,origin,212,16637164.0,0.23886438818539024,0.5662345457434933,0.10323128832035668
2015,origin,207,18954179.0,0.27051274550060966,0.5717185640169379,0.1134345252575183
2016,origin,206,20222139.0,0.28271079533178956,0.5891779301882951,0.11765357102558378
1951,host,21,1957211.0,0.17882589051461492,0.7127489064796795,0.12207656340180455
1952,host,17,1787928.0,0.2796533193730396,0.8155809406195328,0.16037494895483734
1953,host,17,1679304.0,0.2977423980410932,0.8367752354546883,0.16841358762515596
1954,host,20,1581628.0,0.3161299622920181,0.8345831004509278,0.17455287581048762
1955,host,16,1547066.0,0.32319241713023233,0.8722413911235849,0.19521359629619958
1956,host,16,1600875.0,0.31232919497149997,0.8784508471929413,0.1913493104507508
1957,host,16,1582814.0,0.3158930866166208,0.855741735920961,0.1974898170418333
1958,host,18,1545310.0,0.32355967411069625,0.861414214623603,0.20187554134820668
1959,host,18,1520185.0,0.328907336935965,0.868447590260396,0.20788287517884696
1960,host,19,1504664.0,0.33230010155091105,0.8373530568950942,0.18035417556262384
1961,host,24,1641867.0,0.30453136581708506,0.7981005769651257,0.15942817262996276
1962,host,25,1623322.0,0.30801036393272563,0.8179153612160742,0.16549601387975005
1963,host,26,1556603.0,0.32121228084489106,0.803067320312244,0.16676983198488418
1964,host,30,2954919.0,0.3790290021486207,0.7485352390370091,0.19270252860798598
1965,host,34,3269615.0,0.38267502442948176,0.7290965450060634,0.1900007174263812
1966,host,33,3363873.0,0.37160737043283143,0.7293997127715582,0.18304212222019053
1967,host,30,2176941.0,0.2204928842812001,0.651400290591247,0.11488830030094659
1968,host,38,2313726.0,0.21523724071043848,0.6426283838276442,0.11275739197171519
1969,host,50,2433657.0,0.20545212410787553,0.6207949600128531,0.10595789887878222
1970,host,53,2443730.0,0.2046052550813715,0.6094548088373102,0.103900617360531
1971,host,56,2451710.0,0.21617564883285545,0.6024423769532286,0.10552618581789452
1972,host,62,2527130.0,0.20972407434520582,0.5962534574794331,0.10384741594479731
1973,host,46,2322585.0,0.22819401658066335,0.6225434160644282,0.11354520474038647
1974,host,55,2360973.0,0.2244837192123756,0.6374236384744764,0.11880317467801817
1975,host,49,2775314.0,0.19096938220323897,0.5996294473346079,0.09844038921800258
1976,host,52,3667331.0,0.19087450791870164,0.6459929578213692,0.1027300704108173
1977,host,71,4395459.0,0.15925526776611953,0.6028949422574525,0.08838203055309234
1978,host,81,4913804.0,0.14937510735063914,0.5211848091621074,0.07200920528108773
1979,host,87,6110422.0,0.19232550550518443,0.551740943587857,0.08206813285201643
1980,host,89,8287287.0,0.24133350274945226,0.5956139807876811,0.10740395462341906
1981,host,91,9611176.0,0.247142493280739,0.6003500508158419,0.1082826044434144
1982,host,93,10218319.0,0.28160013403378775,0.6395178110998492,0.12619115458792843
1983,host,96,10519723.0,0.27580193889135673,0.6508680884468155,0.12669763986730487
1984,host,95,10557306.0,0.23680283587498552,0.6440287891626898,0.11361824544470189
1985,host,98,11699562.0,0.2335506235190685,0.641156139007597,0.11541734218575066
1986,host,96,12028574.0,0.23960446184227657,0.6396601957971078,0.12110907193781825
1987,host,97,12668947.0,0.24934984730775178,0.6442816439282602,0.12621905218257864
1988,host,97,14341431.0,0.22714448788269456,0.5833524562507046,0.10804878398634976
1989,host,100,14726576.0,0.2224356157194992,0.5762084139585468,0.10446137638479272
1990,host,111,17390695.0,0.24003646777773976,0.5867592410769092,0.10851916330483541
1991,host,117,16848803.0,0.2614426081188082,0.5957335960305311,0.11649673791093818
1992,host,131,17819063.0,0.23293722009962028,0.4938721525368646,0.08073190889967256
1993,host,139,16325525.0,0.15283049090304907,0.41965639696120033,0.05393891281335929
1994,host,142,15753691.0,0.1419572086312979,0.4604635193111252,0.05763698106652765
1995,host,143,14896087.0,0.13909612638540578,0.4568858922480783,0.057445673592128425
1996,host,143,13357087.0,0.152006122292982,0.43713790289754045,0.05679054858025466
1997,host,147,13419450.0,0.1477372768630607,0.4470655652802462,0.055989677567843545
1998,host,146,12859405.0,0.1501882863165131,0.43415780123574926,0.054755074755141166
1999,host,151,13178370.0,0.1392955274438341,0.421964704284369,0.051098583394767326
2000,host,152,14731349.0,0.13590696955180412,0.44354233953726846,0.05584127510917995
2001,host,153,14100331.0,0.155980522726736,0.4706181010928041,0.062314474470882536
2002,host,149,12641202.0,0.10336066143077217,0.41528867270691505,0.046201492060813226
2003,host,149,11494627.0,0.0990029515529299,0.40581934498614003,0.043625627419478306
2004,host,149,11055690.0,0.1175088122043943,0.4156013781138943,0.0465365366734202
2005,host,151,10424534.0,0.10438068502630429,0.37722703000441077,0.04093132879557168
2006,host,154,11664403.0,0.08977218979831202,0.3729192141252321,0.04055505442068237
2007,host,158,12200655.0,0.16705234268160193,0.4611330293332612,0.06253622438180144
2008,host,158,11481711.0,0.15536761028038418,0.43663100386344855,0.054972664006709436
2009,host,165,11797405.0,0.14775630742523463,0.4216858707486943,0.052133604990224174
2010,host,175,12642705.0,0.15049912182559033,0.43448225676388086,0.05260683576180743
2011,host,177,12713673.0,0.13405441527401246,0.38962100094913565,0.045522362860779514
2012,host,180,12770361.0,0.12855862101314128,0.36708335809770765,0.04162632600867461
2013,host,179,13699829.0,0.11838782805245233,0.33948182856880915,0.03818670839021724
2014,host,182,17242548.0,0.09824870430982706,0.3495590094921006,0.03903208045032534
2015,host,182,20206991.0,0.13627758828615305,0.3764430834853146,0.0451371415104798
2016,host,183,20703112.0,0.15047375486352005,0.3827083580478143,0.048231144370273184
