year,value_observed,series
1951,1957211.0,observed
1952,1787928.0,observed
1953,1679304.0,observed
1954,1581628.0,observed
1955,1547066.0,observed
1956,1600875.0,observed
1957,1582814.0,observed
1958,1545310.0,observed
1959,1520185.0,observed
1960,1504664.0,observed
1961,1641867.0,observed
1962,1623322.0,observed
1963,1556603.0,observed
1964,2954919.0,observed
1965,3269615.0,observed
1966,3363873.0,observed
1967,2176941.0,observed
1968,2313726.0,observed
1969,2433657.0,observed
1970,2443730.0,observed
1971,2451710.0,observed
1972,2527130.0,observed
1973,2322585.0,observed
1974,2360973.0,observed
1975,2775314.0,observed
1976,3667331.0,observed
1977,4395459.0,observed
1978,4913804.0,observed
1979,6110422.0,observed
1980,8287287.0,observed
1981,9611176.0,observed
1982,10218319.0,observed
1983,10519723.0,observed
1984,10557306.0,observed
1985,11699562.0,observed
1986,12028574.0,observed
1987,12668947.0,observed
1988,14341431.0,observed
1989,14726576.0,observed
1990,17390695.0,observed
1991,16848803.0,observed
1992,17819063.0,observed
1993,20523925.0,observed
1994,21076681.0,observed
1995,19182777.0,observed
1996,18210799.0,observed
1997,17992562.0,observed
1998,17923285.0,observed
1999,17147018.0,observed
2000,20729850.0,observed
2001,19196833.0,observed
2002,17287843.0,observed
2003,15676328.0,observed
2004,16482229.0,observed
2005,17041325.0,observed
2006,24458671.0,observed
2007,25940972.0,observed
2008,25923938.0,observed
2009,27425462.0,observed
2010,27340509.0,observed
2011,28187051.0,observed
2012,30440729.0,observed
2013,37625384.0,observed
2014,49517167.0,observed
2015,57701163.0,observed
2016,57330239.0,observed
2017,28158216.18604386,linear_trend_forecast_exploratory
2018,28643398.054851532,linear_trend_forecast_exploratory
2019,29128579.923659086,linear_trend_forecast_exploratory
2020,29613761.79246664,linear_trend_forecast_exploratory
2021,30098943.661274314,linear_trend_forecast_exploratory
