month_num,month,mean_applications,median_applications,max_applications
1,January,45275.05263157895,35287.0,122268.0
2,February,43512.05263157895,32466.0,135899.0
3,March,46367.73684210526,35881.0,132142.0
4,April,43206.36842105263,34423.0,132452.0
5,May,44443.94736842105,38233.0,127842.0
6,June,47805.833333333336,36981.0,144573.0
7,July,50629.77777777778,39864.5,150823.0
8,August,54147.5,39977.0,176814.0
9,September,57621.444444444445,43368.5,210121.0
10,October,57571.333333333336,41084.0,221852.0
11,November,53077.77777777778,39575.5,196351.0
12,December,47424.38888888889,39096.5,138261.0
